Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,70
Stand MP,-1,MP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,60,100
Stand HP,-6,HP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
Stand LK,1,LK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,70
Stand MK,-7,MK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,70,100
Stand HK,-7,HK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
Crouch LP,2,d+LP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,70
Crouch MP,-1,d+MP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,60,100
Crouch HP,-8,d+HP,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,90,150
Crouch LK,0,d+LK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,20,70
Crouch MK,-5,d+MK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,50,100
Crouch HK,-15,d+HK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,100,150
Senkaikyaku,-7,f+MK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,60,100
Korenzan,-2,b+HK,False,False,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
Kyoretsushu,-12,s.MP > b or f.HP,False,True,False,normal,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,116,190
Kasatsushu,-10,MP+MK (VS1),False,False,False,vskill,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
Kasatsushu (hold),-18,MP+MK (VS1) (hold),False,False,False,vskill,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,100,200
Kasatsushu (release),-18,MP+MK (VS1) (hold) (release),False,False,False,vskill,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,100,200
Fuha Enzan (release),-2,MP+MK (VS2) (release),False,False,True,vskill,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,50,80
Feng Shui Engine beta,2,HP+HK (VT2),False,False,False,vtrigger,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,70,150
Kuboshu,-2,MK+HP,False,True,False,vbreak,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,60,0
LK Fuharenkyaku Store,-2,qcf+LK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,30
MK Fuharenkyaku Store,-2,qcf+MK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,30
HK Fuharenkyaku Store,-2,qcf+HK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,30,30
LK Fuharenkyaku Release,-2,qcf+LK,False,False,True,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,50,80
MK Fuharenkyaku Release,-4,qcf+MK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,70,80
HK Fuharenkyaku Release,-6,qcf+HK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,90,150
EX Fuharenkyaku,-2,qcf+KK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,120,150
LP Tensenrin,-3,"f,d,df+LP",False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
MP Tensenrin,-29,"f,d,df+MP",False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,120,150
HP Tensenrin,-32,"f,d,df+HP",False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,120,150
EX Tensenrin,-31,"f,d,df+PP",False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,150,200
LK Ryodansatsu,-6,qcb+LK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,70,150
MK Ryodansatsu,-6,qcb+MK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
HK Ryodansatsu,-6,qcb+HK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,100,200
EX Ryodansatsu,-2,qcb+KK,False,False,False,special,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,80,150
Sakkai Fuhazan,-25,"qcb,qcb+K",False,False,True,super,975,1000,600,600,16,24,0.05,0.033,0.25,0.8,330,0
